Age,Temperature_C,Heart_Rate_BPM,Respiratory_Rate_BPM,Weight_Change_Percent,Food_Intake_Percent,Stool_Consistency,Activity_Level,Edema,Trunk_Moisture,Mucous_Membrane,Gait_Score,Health_Status,Diagnosis
18,36.8,28,7,-0.0,96,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
5,38.4,45,19,-3.6,45,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
58,37.2,55,8,-2.0,15,Constipated,High,None,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
45,36.5,26,7,0.8,96,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
8,39.7,54,19,-1.6,51,Loose,Low (Lethargic),None,Dry,Pale,Stiff,Infection,Bacterial/Viral Infection
59,36.5,40,6,0.8,89,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
15,37.6,47,15,-1.7,69,Constipated,Moderate,None,Dry,Pale,Stiff,Dehydration,Severe Dehydration
33,36.3,28,11,0.8,92,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
20,36.4,36,14,-1.2,88,Normal,Moderate,Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
7,36.8,38,11,0.3,92,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
49,37.0,26,6,0.7,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
49,36.6,30,6,-0.0,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
38,36.2,37,9,-0.2,100,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
28,36.6,34,6,-0.5,94,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
11,35.8,27,10,0.6,100,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
8,38.2,54,19,-2.2,42,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
24,37.5,44,12,0.3,45,Loose,Moderate,None,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
16,36.0,25,10,0.7,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
47,37.0,40,12,0.4,85,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
52,37.0,33,14,0.2,86,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
3,39.3,63,18,-3.1,29,Loose,Low (Lethargic),Mild,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
17,37.4,55,17,-1.6,30,Constipated,Moderate,None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
3,36.8,29,9,0.5,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
56,38.6,61,19,-1.4,24,Loose,Low (Lethargic),None,Moist,Dry/Tacky,Normal,Infection,Bacterial/Viral Infection
50,37.6,54,14,-2.2,43,Loose,Moderate,Mild,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
47,36.3,39,13,0.2,98,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
52,37.0,34,14,-1.2,25,Loose,Moderate,None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
29,37.6,54,13,-4.2,55,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
57,38.4,56,21,-4.2,51,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
13,37.9,41,15,-2.2,45,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
17,36.8,37,12,-0.7,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
52,36.2,40,7,0.9,92,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
9,35.8,25,14,0.0,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
20,37.0,46,14,-4.0,56,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
21,36.9,37,7,0.1,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
32,37.2,33,15,-1.6,86,Normal,Low (Lethargic),Severe,Moist,Pink,Lameness,Arthritis,Joint Inflammation
4,36.1,32,6,0.1,85,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
54,36.2,28,7,-0.3,94,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
28,35.9,30,12,0.1,86,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
30,37.1,25,8,-0.2,89,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
39,36.2,38,15,-1.9,87,Normal,Low (Lethargic),Severe,Moist,Pink,Stiff,Arthritis,Joint Inflammation
28,37.0,36,12,-0.9,90,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
43,37.0,30,6,-0.5,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
24,38.5,53,21,-3.1,45,Loose,Moderate,None,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
27,39.0,52,26,-3.5,50,Loose,Low (Lethargic),Mild,Dry,Pink,Stiff,Infection,Bacterial/Viral Infection
48,36.7,54,8,0.2,31,Loose,Moderate,None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
18,36.8,25,14,-0.8,85,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
20,37.0,29,11,-0.8,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
15,39.4,66,27,-2.7,35,Normal,Moderate,None,Moist,Pink,Normal,Infection,Bacterial/Viral Infection
15,36.2,36,8,0.2,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
50,36.4,26,9,-0.5,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
42,35.9,29,13,0.9,98,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
21,37.2,34,10,0.4,100,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
42,36.8,34,7,0.6,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
50,36.0,37,12,0.4,99,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
10,36.0,33,9,-0.3,100,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
20,37.3,43,17,-1.6,14,Loose,Moderate,Mild,Moist,Pale,Normal,Indigestion,Colic / Digestion Issue
11,36.6,38,10,-0.7,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
35,36.2,38,8,-0.6,90,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
43,37.0,36,14,-1.4,24,Loose,Moderate,None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
38,35.9,28,11,0.1,87,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
32,39.5,52,25,-3.7,21,Loose,Moderate,Mild,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
5,37.0,53,18,-2.0,44,Loose,Moderate,None,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
27,40.4,51,27,-2.9,23,Loose,Low (Lethargic),Mild,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
7,37.1,28,10,0.8,99,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
14,37.0,32,14,0.3,98,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
51,36.8,37,11,-0.2,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
17,36.8,37,12,-0.6,87,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
17,36.3,29,8,0.9,86,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
44,38.2,55,16,-1.9,57,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
17,38.3,44,13,-4.7,61,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
25,38.6,50,14,-4.2,66,Normal,Moderate,None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
60,36.6,34,12,-0.1,31,Constipated,Moderate,Mild,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
9,35.8,29,11,-0.3,96,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
17,37.1,29,10,-0.8,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
51,36.2,35,7,-1.0,98,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
36,36.6,44,12,-0.7,21,Constipated,High,None,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
48,36.4,32,13,0.2,99,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
9,38.5,46,22,-3.2,37,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
32,36.6,37,9,0.8,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
44,39.5,50,24,-1.5,40,Normal,Low (Lethargic),None,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
39,40.1,53,27,-2.5,47,Normal,Low (Lethargic),Mild,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
42,38.2,40,17,-1.9,32,Constipated,Moderate,None,Dry,Pale,Normal,Dehydration,Severe Dehydration
44,37.4,53,16,-1.8,36,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
26,37.9,46,18,-4.4,55,Normal,Moderate,None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
36,39.6,52,24,-3.7,46,Loose,Low (Lethargic),Mild,Moist,Pale,Normal,Infection,Bacterial/Viral Infection
28,36.6,27,10,0.8,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
7,35.9,34,14,0.9,85,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
29,36.4,39,6,0.5,96,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
14,36.1,33,12,-0.8,94,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
43,37.9,47,21,-2.7,66,Normal,Moderate,None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
33,38.9,47,18,-3.5,27,Loose,Low (Lethargic),None,Moist,Pink,Normal,Infection,Bacterial/Viral Infection
25,38.5,57,22,-1.8,36,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
45,37.1,40,15,-2.3,53,Constipated,Moderate,None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
10,37.9,52,19,-2.7,39,Normal,Low (Lethargic),None,Dry,Pale,Stiff,Dehydration,Severe Dehydration
31,36.8,43,8,0.1,74,Normal,Moderate,Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
35,36.8,35,14,0.1,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
29,36.0,30,9,-0.4,88,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
22,37.3,37,10,-2.7,33,Constipated,Moderate,None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
26,37.0,37,13,-0.9,91,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
42,37.5,38,17,-1.1,21,Loose,Low (Lethargic),None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
22,39.6,52,24,-2.5,49,Loose,Moderate,None,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
14,36.4,38,9,1.0,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
43,36.4,34,12,-2.3,48,Loose,Moderate,None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
9,37.4,29,13,-1.1,82,Normal,Low (Lethargic),Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
28,37.1,32,6,-0.8,93,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
24,38.1,42,18,-2.8,58,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
9,36.6,27,13,-0.8,87,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
46,36.6,29,9,0.7,100,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
53,35.9,33,8,-0.2,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
8,37.9,59,19,-3.9,44,Normal,Moderate,None,Dry,Pale,Normal,Dehydration,Severe Dehydration
32,36.2,45,7,-1.2,72,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
46,39.4,48,20,-1.5,44,Loose,Low (Lethargic),None,Dry,Pale,Stiff,Infection,Bacterial/Viral Infection
13,36.4,45,11,-2.7,46,Constipated,Low (Lethargic),None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
51,36.0,27,11,0.9,86,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
3,35.8,26,8,-0.5,87,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
16,37.3,44,20,-2.1,40,Constipated,Moderate,None,Dry,Pale,Stiff,Dehydration,Severe Dehydration
30,36.9,38,12,-0.7,87,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
36,39.8,51,28,-2.1,33,Normal,Low (Lethargic),None,Dry,Pink,Stiff,Infection,Bacterial/Viral Infection
37,40.2,61,26,-1.9,27,Loose,Moderate,None,Moist,Pale,Normal,Infection,Bacterial/Viral Infection
58,40.1,51,28,-3.9,54,Loose,Low (Lethargic),Mild,Moist,Pale,Stiff,Infection,Bacterial/Viral Infection
32,36.4,35,13,0.6,98,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
12,36.1,36,13,-0.5,92,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
21,36.7,32,18,-2.3,36,Loose,Low (Lethargic),None,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
30,39.2,51,29,-2.0,40,Loose,Low (Lethargic),None,Moist,Pale,Normal,Infection,Bacterial/Viral Infection
5,36.5,31,9,-0.1,14,Constipated,High,None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
55,40.2,65,18,-1.2,60,Loose,Low (Lethargic),None,Dry,Pink,Normal,Infection,Bacterial/Viral Infection
4,36.2,32,7,0.9,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
28,37.2,51,18,-1.8,59,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
20,37.1,35,11,-0.5,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
47,38.4,42,22,-4.5,39,Constipated,Moderate,None,Dry,Pale,Normal,Dehydration,Severe Dehydration
12,37.6,58,12,-1.6,35,Normal,Moderate,None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
60,38.5,40,18,-3.1,65,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
30,37.0,27,13,0.7,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
34,38.4,51,12,-4.9,64,Normal,Low (Lethargic),None,Dry,Pale,Stiff,Dehydration,Severe Dehydration
16,36.2,35,10,-0.7,85,Constipated,Low (Lethargic),None,Moist,Pink,Stiff,Arthritis,Joint Inflammation
34,36.3,38,13,-0.4,91,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
10,36.6,39,8,-0.4,100,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
35,38.5,41,18,-2.2,66,Normal,Moderate,None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
7,37.1,30,6,-0.2,94,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
25,39.5,69,30,-3.4,54,Normal,Low (Lethargic),None,Dry,Pale,Normal,Infection,Bacterial/Viral Infection
15,36.6,45,7,0.5,62,Constipated,Low (Lethargic),None,Moist,Pink,Stiff,Arthritis,Joint Inflammation
39,36.0,34,11,0.5,90,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
47,36.4,36,13,0.0,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
5,38.6,57,30,-3.4,35,Loose,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Infection,Bacterial/Viral Infection
10,36.3,26,11,-0.6,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
6,40.3,66,25,-2.0,42,Normal,Low (Lethargic),Mild,Moist,Dry/Tacky,Stiff,Infection,Bacterial/Viral Infection
40,36.0,40,7,0.6,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
59,35.8,30,12,-0.7,88,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
21,37.2,25,12,0.7,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
40,36.1,44,16,-0.5,14,Constipated,Low (Lethargic),Mild,Dry,Pink,Normal,Indigestion,Colic / Digestion Issue
48,36.5,38,14,0.2,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
40,36.3,49,13,-2.4,49,Constipated,Low (Lethargic),None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
57,36.8,36,12,0.9,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
58,38.6,39,21,-4.8,70,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
53,37.3,30,7,-1.6,89,Normal,Low (Lethargic),Severe,Moist,Pink,Lameness,Arthritis,Joint Inflammation
56,37.2,29,14,-1.7,80,Normal,Low (Lethargic),Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
7,36.3,34,9,-0.7,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
45,37.1,39,18,-3.5,64,Constipated,Moderate,None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
56,37.2,42,22,-4.9,39,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
15,36.4,28,7,-0.7,94,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
37,36.7,27,12,0.4,98,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
30,39.4,52,21,-1.9,29,Normal,Moderate,None,Moist,Dry/Tacky,Stiff,Infection,Bacterial/Viral Infection
56,37.1,34,14,-0.7,90,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
46,36.2,44,12,-0.0,85,Normal,Low (Lethargic),None,Moist,Pink,Stiff,Arthritis,Joint Inflammation
53,36.0,29,12,1.0,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
14,37.2,31,8,-0.8,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
37,37.2,55,15,-2.8,19,Loose,Low (Lethargic),None,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
37,36.0,53,9,-0.6,44,Constipated,Moderate,None,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
2,36.9,25,6,-0.8,85,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
50,38.1,60,22,-4.0,64,Normal,Low (Lethargic),None,Dry,Pale,Normal,Dehydration,Severe Dehydration
31,38.1,51,20,-1.8,64,Normal,Moderate,None,Dry,Pale,Stiff,Dehydration,Severe Dehydration
39,37.0,27,10,0.8,92,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
7,36.7,46,12,-0.5,24,Loose,Low (Lethargic),None,Moist,Pink,Normal,Indigestion,Colic / Digestion Issue
2,37.4,56,17,-1.9,65,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
39,37.6,51,17,-2.2,45,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
11,37.0,32,14,-0.3,100,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
9,36.2,36,12,-0.5,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
3,38.1,50,13,-3.5,52,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
10,37.5,43,6,-1.1,69,Normal,Moderate,None,Moist,Pink,Stiff,Arthritis,Joint Inflammation
26,36.9,37,13,0.2,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
33,36.8,36,8,-0.7,100,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
22,40.5,52,18,-1.7,57,Loose,Low (Lethargic),Mild,Moist,Pale,Stiff,Infection,Bacterial/Viral Infection
10,36.1,25,9,0.7,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
9,36.0,39,13,-0.1,99,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
43,36.1,31,8,0.7,97,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
56,36.7,35,8,-0.8,82,Constipated,Low (Lethargic),Mild,Moist,Pink,Lameness,Arthritis,Joint Inflammation
57,36.5,40,9,0.5,100,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
40,37.0,39,8,-0.5,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
36,36.2,44,18,-0.1,20,Loose,Moderate,None,Dry,Pale,Normal,Indigestion,Colic / Digestion Issue
6,36.4,33,8,-0.8,89,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
6,40.3,47,24,-2.5,37,Loose,Moderate,None,Dry,Pink,Stiff,Infection,Bacterial/Viral Infection
40,38.0,56,18,-2.0,70,Normal,Moderate,None,Dry,Pale,Normal,Dehydration,Severe Dehydration
20,37.1,28,8,-0.3,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
26,37.3,35,6,0.4,89,Normal,Low (Lethargic),Mild,Moist,Pink,Stiff,Arthritis,Joint Inflammation
44,37.2,27,8,0.3,98,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
35,35.9,31,8,0.9,93,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
22,37.2,38,10,0.0,85,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
58,37.2,47,13,-4.1,69,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
57,36.4,28,7,-0.7,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
10,36.2,35,12,0.4,95,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
57,37.3,42,14,-2.3,33,Constipated,Low (Lethargic),None,Dry,Pale,Normal,Dehydration,Severe Dehydration
49,36.8,27,9,-0.6,95,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
11,36.5,35,14,0.5,97,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
55,36.6,37,11,-0.9,93,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
12,38.7,45,24,-1.2,29,Normal,Moderate,None,Dry,Pink,Stiff,Infection,Bacterial/Viral Infection
30,37.6,51,21,-2.7,42,Constipated,Moderate,None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
31,38.4,52,22,-1.8,66,Normal,Moderate,None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
13,36.5,39,11,-0.5,87,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
35,36.9,34,14,0.4,87,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
36,36.4,26,10,0.7,91,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
44,36.2,30,10,0.4,89,Normal,Moderate,None,Moist,Pink,Normal,Healthy,No_Diagnosis
47,36.7,29,13,0.4,94,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
41,38.7,62,23,-2.4,37,Loose,Low (Lethargic),None,Moist,Pale,Stiff,Infection,Bacterial/Viral Infection
6,38.7,60,20,-4.6,68,Normal,Low (Lethargic),None,Dry,Dry/Tacky,Normal,Dehydration,Severe Dehydration
46,36.6,40,7,0.0,88,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
41,39.9,46,24,-1.3,41,Loose,Low (Lethargic),None,Moist,Pale,Normal,Infection,Bacterial/Viral Infection
39,37.5,52,20,-3.2,55,Constipated,Low (Lethargic),None,Dry,Dry/Tacky,Stiff,Dehydration,Severe Dehydration
12,36.8,34,12,0.6,86,Normal,High,None,Moist,Pink,Normal,Healthy,No_Diagnosis
53,38.3,38,17,-2.5,66,Constipated,Moderate,None,Dry,Pale,Normal,Dehydration,Severe Dehydration
